Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-04-25	Sebze	11472.44	2,1425	14,89
2014-04-26	Meyve	14980.84	2,1378	13,72
2014-04-26	Sebze	15096.93	2,1378	13,72
2014-04-27	Meyve	13363.76	2,1378	14,83
2014-04-27	Sebze	15872.53	2,1378	14,83
2014-04-28	Meyve	11473.31	2,1378	13,89
2014-04-28	Sebze	12805.62	2,1378	13,89
2014-04-29	Meyve	9989.17	2,1351	15,67
2014-04-29	Sebze	9508.09	2,1351	15,67
2014-04-30	Meyve	10658.55	2,1218	14,33
2014-04-30	Sebze	9932.21	2,1218	14,33
2014-05-01	Meyve	11533.91	2,1726	8,11
2014-05-01	Sebze	14995.63	2,1726	8,11
2014-05-02	Meyve	7687.02	2,2601	6,72
2014-05-02	Sebze	9060.15	2,2601	6,72
2014-05-03	Meyve	7481.14	2,2159	12,83
2014-05-03	Sebze	8721.88	2,2159	12,83
2014-05-04	Meyve	12956.08	2,1393	17,28
2014-05-04	Sebze	15984.63	2,1393	17,28
2014-05-05	Meyve	11951.54	2,1111	15,94
2014-05-05	Sebze	12618.04	2,1111	15,94
2014-05-06	Meyve	10319.74	2,1237	18,22
2014-05-06	Sebze	7548.53	2,1237	18,22
2014-05-07	Meyve	13569.66	2,1320	23,61
2014-05-07	Sebze	11766.46	2,1320	23,61
2014-05-08	Meyve	8551.48	2,1351	28,28
2014-05-08	Sebze	8222.61	2,1351	28,28
2014-05-09	Meyve	8125.33	2,1603	26,00
2014-05-09	Sebze	8283.24	2,1603	26,00
2014-05-10	Meyve	6287.12	2,2714	18,06
2014-05-10	Sebze	7549.13	2,2714	18,06
2014-05-11	Meyve	6500.14	2,2220	12,44
2014-05-11	Sebze	8690.31	2,2220	12,44
2014-05-12	Meyve	7697.3	2,2337	10,67
2014-05-12	Sebze	9860.85	2,2337	10,67
2014-05-13	Meyve	9799.3	2,0792	18,39
2014-05-13	Sebze	8698.88	2,0792	18,39
2014-05-14	Meyve	10325.43	2,0749	21,06
2014-05-14	Sebze	8199.82	2,0749	21,06
2014-05-15	Meyve	9815.15	2,0748	19,00
2014-05-15	Sebze	8175.04	2,0748	19,00
2014-05-16	Meyve	9725.46	2,0807	19,17
2014-05-16	Sebze	8574.56	2,0807	19,17
2014-05-17	Meyve	13185.6	2,1019	17,89
