ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
Turizm Haftası	15.04.2014	22.04.2014	15.04.2015	22.04.2015	15.04.2016	22.04.2016	15.04.2017	22.04.2017	Sabit	3	Sosyal-Özel Gün	0
Adli Tatil	21.03.2014	26.03.2014	21.03.2015	26.03.2015	21.03.2016	26.03.2016	21.03.2017	26.03.2017	Sabit	3	Sosyal-Özel Gün	1
Türk Büyükleri Günü	29.05.2014	29.05.2014	29.05.2015	29.05.2015	29.05.2016	29.05.2016	29.05.2017	29.05.2017	Sabit	3	Sosyal-Özel Gün	0
Anneler Günü	11.05.2014	11.05.2014	10.05.2015	10.05.2015	08.05.2016	08.05.2016	14.05.2017	14.05.2017	Mayıs Ayının İkinci Pazarı	3	Sosyal-Özel Gün	0
Veremle Savaş Eğitimi Haftası	10.01.2014	07.01.2014	07.01.2015	07.01.2015	04.01.2016	10.01.2016	02.01.2017	08.01.2017	Ocak Ayının İlk Haftası	3	Sosyal-Özel Gün	0
Organ Nakli Haftası	10.01.2014	07.01.2014	07.01.2015	07.01.2015	04.01.2016	10.01.2016	02.01.2017	08.01.2017	Sabit	3	Sosyal-Özel Gün	0
Birleşmiş Milletler Günü	01.01.2014	01.01.2014	01.01.2015	01.01.2015	01.01.2016	01.01.2016	01.01.2017	01.01.2017	Sabit	3	Sosyal-Özel Gün	0
Yeni Yıl (Yılbaşı)	01.01.2014	01.01.2014	01.01.2015	01.01.2015	01.01.2016	01.01.2016	01.01.2017	01.01.2017	Sabit	2	Dini Gün	1
Mevlana Haftası	12.03.2014	12.03.2014	12.03.2015	12.03.2015	12.03.2016	12.03.2016	12.03.2017	12.03.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Su Günü	22.03.2014	22.03.2014	22.03.2015	22.03.2015	22.03.2016	22.03.2016	22.03.2017	22.03.2017	Sabit	3	Sosyal-Özel Gün	0
